,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
0,Main_Fault,Fault_series,1,False,True,True,True,#015482,"[[ 414.99998474   10.           45.        ]
 [ 404.99995422   10.           15.        ]
 [ 414.99998474   30.           45.        ]
 ...
 [ 895.00003052  970.         1485.        ]
 [ 885.          990.         1455.        ]
 [ 895.00003052  990.         1485.        ]]","[[   2    1    0]
 [   3    1    2]
 [   0    5    4]
 ...
 [3496 3399 3395]
 [3499 3496 3497]
 [3498 3496 3499]]",-0.7116388743580251,1
2,Limestone,Sediment_series,1,False,False,True,True,#ffbe00,"[[  12.           10.          599.99462128]
 [  12.           30.          599.99462128]
 [  36.           10.          599.99507904]
 ...
 [1188.          950.          900.00051498]
 [1188.          970.          900.00051498]
 [1188.          990.          900.0005722 ]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [2998 2948 2997]
 [2998 2949 2948]
 [2999 2949 2998]]",0.500191560310699,2
1,Sandstone,Sediment_series,2,False,False,True,True,#9f0052,"[[  12.           10.          399.99461174]
 [  12.           30.          399.99464035]
 [  36.           10.          399.99512672]
 ...
 [1188.          950.          700.00041962]
 [1188.          970.          700.00047684]
 [1188.          990.          700.00053406]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [2998 2948 2997]
 [2998 2949 2948]
 [2999 2949 2998]]",0.33352437152449793,3
3,basement,Basement,1,True,False,True,False,#728f02,,,,4
